Shipping Key,Ship Mode,Shipping Cost
308671,First Class,32.08
308672,Second Class,32.08
308673,Second Class,32.07
308674,Standard Class,32.07
308675,Standard Class,32.06
308676,Second Class,32.06
308677,Standard Class,32.05
308678,First Class,32.04
308679,Standard Class,32.03
308680,Standard Class,32.02
308681,Standard Class,32.01
308682,Same Day,32.0
308683,Standard Class,32.0
308684,First Class,31.98
308685,Standard Class,31.98
308686,Standard Class,31.96
308687,First Class,31.96
308688,Standard Class,31.95
308689,Second Class,31.95
308690,Second Class,31.94
308691,First Class,31.94
308692,Standard Class,31.94
308693,Same Day,31.94
308694,Second Class,31.93
308695,Standard Class,31.91
308696,Standard Class,31.89
308697,Second Class,31.89
308698,Standard Class,31.88
308699,Standard Class,31.87
308700,First Class,31.86
308701,Standard Class,31.86
308702,Standard Class,31.85
308703,Standard Class,31.84
308704,First Class,31.84
308705,Second Class,31.84
308706,Standard Class,31.83
308707,Second Class,31.83
308708,Standard Class,31.82
308709,First Class,31.81
308710,Standard Class,31.81
308711,Second Class,31.81
308712,Standard Class,31.79
308713,Standard Class,31.78
308714,Standard Class,31.77
308715,First Class,31.77
308716,Standard Class,31.76
308717,Standard Class,31.75
308718,Second Class,31.75
308719,Second Class,31.74
308720,Standard Class,31.74
308721,Second Class,31.73
308722,Standard Class,31.73
308723,Same Day,31.73
308724,First Class,31.72
308725,Second Class,31.72
308726,Second Class,31.71
308727,Standard Class,31.71
308728,Standard Class,31.7
308729,First Class,31.7
308730,Same Day,31.7
308731,Standard Class,31.69
308732,Standard Class,31.68
308733,Second Class,31.67
308734,First Class,31.67
308735,Second Class,31.66
308736,Standard Class,31.66
308737,First Class,31.65
308738,Standard Class,31.65
308739,Second Class,31.65
308740,Standard Class,31.63
308741,Same Day,31.63
308742,Second Class,31.62
308743,Standard Class,31.62
308744,Standard Class,31.61
308745,Standard Class,31.6
308746,Second Class,31.59
308747,Standard Class,31.59
308748,Same Day,31.59
308749,Standard Class,31.58
308750,Second Class,31.58
308751,Standard Class,31.56
308752,Second Class,31.56
308753,Second Class,31.55
308754,Standard Class,31.55
308755,First Class,31.55
308756,Second Class,31.54
308757,Standard Class,31.54
308758,Standard Class,31.53
308759,Second Class,31.53
308760,First Class,31.52
308761,Standard Class,31.52
308762,Second Class,31.51
308763,Same Day,31.5
308764,Second Class,31.5
308765,Standard Class,31.5
308766,Standard Class,31.49
308767,Standard Class,31.48
308768,Second Class,31.48
308769,Same Day,31.48
308770,Standard Class,31.47
308771,First Class,31.47
308772,First Class,31.46
308773,First Class,31.45
308774,First Class,31.44
308775,Standard Class,31.43
308776,First Class,31.42
308777,Standard Class,31.42
308778,Second Class,31.42
308779,Standard Class,31.41
308780,Second Class,31.41
308781,First Class,31.4
308782,Second Class,31.39
308783,Standard Class,31.39
308784,Standard Class,31.38
308785,First Class,31.38
308786,Standard Class,31.37
308787,Standard Class,31.36
308788,Same Day,31.36
308789,Second Class,31.35
308790,Standard Class,31.34
308791,First Class,31.34
308792,First Class,31.33
308793,Standard Class,31.33
308794,Standard Class,31.32
308795,First Class,31.32
308796,Second Class,31.31
308797,Standard Class,31.31
308798,Second Class,31.3
308799,Standard Class,31.3
308800,Standard Class,31.29
308801,First Class,31.29
308802,First Class,31.28
308803,Standard Class,31.28
308804,Standard Class,31.27
308805,Standard Class,31.26
308806,Second Class,31.26
308807,Standard Class,31.25
308808,Standard Class,31.24
308809,Second Class,31.23
308810,Same Day,31.23
308811,Standard Class,31.22
308812,Standard Class,31.21
308813,Second Class,31.21
308814,Standard Class,31.2
308815,Second Class,31.2
308816,Standard Class,31.18
308817,First Class,31.17
308818,Standard Class,31.16
308819,Standard Class,31.15
308820,Same Day,31.15
308821,First Class,31.15
308822,Second Class,31.14
308823,First Class,31.14
308824,Standard Class,31.14
308825,First Class,31.13
308826,Same Day,31.13
308827,Standard Class,31.13
308828,Standard Class,31.12
308829,Second Class,31.12
308830,Standard Class,31.11
308831,First Class,31.11
308832,Standard Class,31.1
308833,Second Class,31.09
308834,Standard Class,31.09
308835,Standard Class,31.08
308836,Same Day,31.08
308837,Standard Class,31.07
308838,Second Class,31.07
308839,Second Class,31.06
308840,Standard Class,31.06
308841,Standard Class,31.05
308842,Same Day,31.05
308843,Second Class,31.05
308844,Standard Class,31.04
308845,First Class,31.04
308846,Standard Class,31.03
308847,Second Class,31.02
308848,Standard Class,31.02
308849,First Class,31.01
308850,Second Class,31.01
308851,Standard Class,31.0
308852,First Class,31.0
308853,Standard Class,30.99
308854,Standard Class,30.98
308855,Same Day,30.98
308856,First Class,30.97
308857,Second Class,30.97
308858,Standard Class,30.97
308859,Same Day,30.97
308860,Standard Class,30.96
308861,First Class,30.96
308862,Second Class,30.95
308863,First Class,30.95
308864,First Class,30.94
308865,Standard Class,30.94
308866,Second Class,30.94
308867,Standard Class,30.93
308868,First Class,30.93
308869,First Class,30.92
308870,Standard Class,30.92
308871,Second Class,30.92
308872,Standard Class,30.91
308873,Second Class,30.9
308874,Same Day,30.89
308875,Standard Class,30.89
308876,First Class,30.89
308877,Standard Class,30.88
308878,First Class,30.88
308879,Second Class,30.87
308880,Standard Class,30.87
308881,Second Class,30.86
308882,Standard Class,30.86
308883,First Class,30.86
308884,First Class,30.85
308885,Standard Class,30.85
308886,First Class,30.84
308887,Standard Class,30.84
308888,First Class,30.83
308889,Standard Class,30.83
308890,Standard Class,30.82
308891,Standard Class,30.81
308892,Same Day,30.81
308893,First Class,30.81
308894,Standard Class,30.8
308895,First Class,30.79
308896,Standard Class,30.79
308897,Standard Class,30.78
308898,First Class,30.78
308899,Standard Class,30.77
308900,Standard Class,30.76
308901,Standard Class,30.75
308902,Second Class,30.75
308903,Second Class,30.74
308904,Standard Class,30.74
308905,Second Class,30.73
308906,Standard Class,30.73
308907,Standard Class,30.72
308908,Same Day,30.71
308909,Standard Class,30.71
308910,Second Class,30.71
308911,Standard Class,30.7
308912,Standard Class,30.69
308913,Standard Class,30.68
308914,Second Class,30.68
308915,Standard Class,30.67
308916,Second Class,30.67
308917,First Class,30.67
308918,Standard Class,30.66
308919,First Class,30.66
308920,Standard Class,30.65
308921,First Class,30.65
308922,Standard Class,30.64
308923,Standard Class,30.63
308924,First Class,30.63
308925,Standard Class,30.62
308926,Second Class,30.62
308927,Standard Class,30.61
308928,Standard Class,30.6
308929,Standard Class,30.59
308930,Same Day,30.58
308931,Standard Class,30.58
308932,First Class,30.58
308933,First Class,30.57
308934,Second Class,30.57
308935,Second Class,30.56
308936,First Class,30.56
308937,Same Day,30.56
308938,Second Class,30.55
308939,Second Class,30.54
308940,Standard Class,30.53
308941,Standard Class,30.52
308942,Second Class,30.52
308943,Standard Class,30.51
308944,First Class,30.51
308945,Standard Class,30.5
308946,Second Class,30.49
308947,Standard Class,30.49
308948,Standard Class,30.47
308949,First Class,30.46
308950,Standard Class,30.46
308951,Second Class,30.46
308952,Standard Class,30.45
308953,First Class,30.44
308954,Same Day,30.44
308955,First Class,30.43
308956,Standard Class,30.43
308957,Standard Class,30.42
308958,Standard Class,30.41
308959,Second Class,30.41
308960,Second Class,30.4
308961,Standard Class,30.4
308962,Standard Class,30.39
308963,First Class,30.39
308964,Standard Class,30.38
308965,Second Class,30.38
308966,First Class,30.38
308967,Standard Class,30.37
308968,Second Class,30.37
308969,First Class,30.36
308970,Standard Class,30.36
308971,First Class,30.35
308972,Standard Class,30.35
308973,Second Class,30.34
308974,Standard Class,30.34
308975,Standard Class,30.33
308976,Standard Class,30.32
308977,First Class,30.32
308978,Second Class,30.31
308979,Standard Class,30.31
308980,Standard Class,30.3
308981,Second Class,30.3
308982,Standard Class,30.29
308983,Second Class,30.28
308984,Same Day,30.28
308985,Standard Class,30.28
308986,First Class,30.28
308987,Standard Class,30.27
308988,Second Class,30.27
308989,First Class,30.27
308990,Second Class,30.26
308991,Standard Class,30.26
308992,Same Day,30.26
308993,Standard Class,30.25
308994,Second Class,30.25
308995,Second Class,30.24
308996,First Class,30.23
308997,Standard Class,30.23
308998,Standard Class,30.22
308999,First Class,30.21
309000,Standard Class,30.21
309001,Same Day,30.21
309002,Second Class,30.21
309003,Standard Class,30.2
309004,First Class,30.2
309005,Second Class,30.19
309006,Standard Class,30.19
309007,Standard Class,30.18
309008,First Class,30.18
309009,Standard Class,30.17
309010,First Class,30.17
309011,Standard Class,30.16
309012,First Class,30.15
309013,Standard Class,30.15
309014,Same Day,30.15
309015,Second Class,30.15
309016,Standard Class,30.14
309017,First Class,30.14
309018,Second Class,30.13
309019,Standard Class,30.13
309020,Second Class,30.12
309021,Standard Class,30.12
309022,First Class,30.12
309023,First Class,30.11
309024,Same Day,30.11
309025,Standard Class,30.1
309026,Standard Class,30.09
309027,Standard Class,30.08
309028,Second Class,30.07
309029,Standard Class,30.07
309030,Second Class,30.06
309031,Same Day,30.06
309032,Standard Class,30.06
309033,First Class,30.06
309034,Standard Class,30.05
309035,Second Class,30.05
309036,Standard Class,30.04
309037,First Class,30.04
309038,Standard Class,30.03
309039,Same Day,30.03
309040,Same Day,30.02
309041,Second Class,30.02
309042,Standard Class,30.02
309043,Second Class,30.01
309044,First Class,30.01
309045,Standard Class,30.01
309046,First Class,30.0
309047,Same Day,30.0
309048,Standard Class,30.0
309049,Standard Class,29.99
309050,First Class,29.99
309051,First Class,29.98
309052,Same Day,29.97
309053,Standard Class,29.97
309054,Second Class,29.96
309055,First Class,29.96
309056,First Class,29.95
309057,Second Class,29.95
309058,First Class,29.94
309059,Standard Class,29.94
309060,Second Class,29.93
309061,Standard Class,29.93
309062,First Class,29.93
309063,Second Class,29.92
309064,Standard Class,29.92
309065,First Class,29.92
309066,Standard Class,29.91
309067,Second Class,29.9
309068,Standard Class,29.9
309069,Same Day,29.89
309070,Standard Class,29.89
309071,Second Class,29.89
309072,First Class,29.88
309073,Standard Class,29.88
309074,Standard Class,29.87
309075,Same Day,29.87
309076,Second Class,29.86
309077,First Class,29.86
309078,First Class,29.85
309079,Second Class,29.85
309080,Standard Class,29.85
309081,First Class,29.84
309082,Second Class,29.84
309083,First Class,29.83
309084,Second Class,29.83
309085,Second Class,29.82
309086,Standard Class,29.82
309087,First Class,29.82
309088,First Class,29.81
309089,Standard Class,29.81
309090,Same Day,29.8
309091,Standard Class,29.8
309092,First Class,29.8
309093,Standard Class,29.79
309094,Standard Class,29.78
309095,First Class,29.77
309096,Second Class,29.77
309097,Standard Class,29.77
309098,Same Day,29.76
309099,First Class,29.76
309100,Standard Class,29.75
309101,First Class,29.75
309102,Second Class,29.74
309103,Standard Class,29.74
309104,Standard Class,29.73
309105,Standard Class,29.72
309106,Second Class,29.72
309107,Standard Class,29.71
309108,Standard Class,29.7
309109,First Class,29.7
309110,Second Class,29.7
309111,First Class,29.69
309112,Second Class,29.69
309113,Standard Class,29.69
309114,Second Class,29.68
309115,First Class,29.68
309116,Standard Class,29.68
309117,Standard Class,29.67
309118,Second Class,29.66
309119,First Class,29.66
309120,Standard Class,29.66
309121,Standard Class,29.65
309122,Standard Class,29.64
309123,Second Class,29.63
309124,Standard Class,29.63
309125,Standard Class,29.62
309126,First Class,29.62
309127,Second Class,29.61
309128,First Class,29.61
309129,Standard Class,29.61
309130,Standard Class,29.6
309131,Standard Class,29.59
309132,First Class,29.59
309133,Second Class,29.58
309134,Standard Class,29.58
309135,Same Day,29.58
309136,Standard Class,29.57
309137,First Class,29.56
309138,Second Class,29.56
309139,Standard Class,29.55
309140,First Class,29.55
309141,Same Day,29.55
309142,First Class,29.54
309143,Standard Class,29.54
309144,Second Class,29.54
309145,First Class,29.53
309146,Standard Class,29.53
309147,Standard Class,29.51
309148,Standard Class,29.5
309149,Second Class,29.5
309150,Second Class,29.49
309151,First Class,29.48
309152,Second Class,29.48
309153,Standard Class,29.48
309154,Standard Class,29.47
309155,Same Day,29.46
309156,Standard Class,29.46
309157,Standard Class,29.45
309158,Second Class,29.45
309159,Standard Class,29.44
309160,Standard Class,29.43
309161,First Class,29.43
309162,Same Day,29.43
309163,Standard Class,29.42
309164,Second Class,29.42
309165,Same Day,29.42
309166,First Class,29.41
309167,Standard Class,29.41
309168,Second Class,29.41
309169,First Class,29.4
309170,Standard Class,29.4
309171,Second Class,29.4
309172,Standard Class,29.39
309173,Second Class,29.39
309174,First Class,29.38
309175,Second Class,29.38
309176,Standard Class,29.38
309177,Standard Class,29.37
309178,Second Class,29.37
309179,Second Class,29.36
309180,First Class,29.36
309181,Standard Class,29.36
309182,Standard Class,29.35
309183,First Class,29.35
309184,Same Day,29.34
309185,Standard Class,29.34
309186,Second Class,29.34
309187,Standard Class,29.33
309188,Standard Class,29.32
309189,First Class,29.32
309190,Standard Class,29.31
309191,Second Class,29.31
309192,Second Class,29.3
309193,Same Day,29.3
309194,Standard Class,29.3
309195,Standard Class,29.29
309196,First Class,29.29
309197,Second Class,29.28
309198,Standard Class,29.28
309199,Same Day,29.28
309200,Standard Class,29.27
309201,Second Class,29.27
309202,Standard Class,29.26
309203,Same Day,29.25
309204,Standard Class,29.25
309205,Standard Class,29.24
309206,Second Class,29.24
309207,Standard Class,29.23
309208,Same Day,29.23
309209,First Class,29.22
309210,Standard Class,29.21
309211,Second Class,29.21
309212,Standard Class,29.2
309213,Second Class,29.19
309214,Standard Class,29.19
309215,First Class,29.18
309216,Standard Class,29.17
309217,Standard Class,29.16
309218,First Class,29.15
309219,Standard Class,29.15
309220,Second Class,29.15
309221,First Class,29.14
309222,Standard Class,29.14
309223,Second Class,29.14
309224,First Class,29.13
309225,Standard Class,29.13
309226,Second Class,29.13
309227,Same Day,29.12
309228,Second Class,29.12
309229,First Class,29.12
309230,Standard Class,29.12
309231,First Class,29.11
309232,Standard Class,29.11
309233,Standard Class,29.1
309234,Standard Class,29.09
309235,First Class,29.09
309236,Second Class,29.08
309237,First Class,29.08
309238,Second Class,29.07
309239,Same Day,29.07
309240,Standard Class,29.07
309241,Second Class,29.06
309242,Standard Class,29.06
309243,Same Day,29.05
309244,Second Class,29.05
309245,Standard Class,29.05
309246,First Class,29.05
309247,Standard Class,29.04
309248,First Class,29.04
309249,Second Class,29.03
309250,Standard Class,29.02
309251,Second Class,29.02
309252,Second Class,29.01
309253,First Class,29.01
309254,Standard Class,29.01
309255,Second Class,29.0
309256,Same Day,29.0
309257,Standard Class,29.0
309258,First Class,28.99
309259,First Class,28.98
309260,Standard Class,28.98
309261,Standard Class,28.97
309262,Second Class,28.97
309263,First Class,28.97
309264,First Class,28.96
309265,Standard Class,28.96
309266,Same Day,28.96
309267,Second Class,28.96
309268,Standard Class,28.95
309269,Standard Class,28.94
309270,First Class,28.94
309271,Standard Class,28.93
309272,Same Day,28.93
309273,Standard Class,28.92
309274,First Class,28.92
309275,Same Day,28.92
309276,First Class,28.91
309277,Standard Class,28.91
309278,Second Class,28.91
309279,Standard Class,28.9
309280,Second Class,28.9
309281,Standard Class,28.89
309282,Standard Class,28.88
309283,First Class,28.88
309284,Standard Class,28.87
309285,Standard Class,28.86
309286,Second Class,28.86
309287,First Class,28.85
309288,Standard Class,28.85
309289,First Class,28.84
309290,Second Class,28.84
309291,Standard Class,28.84
309292,Standard Class,28.83
309293,Second Class,28.83
309294,First Class,28.82
309295,Standard Class,28.82
309296,Same Day,28.82
309297,Standard Class,28.81
309298,Same Day,28.81
309299,Standard Class,28.8
309300,Second Class,28.8
309301,Same Day,28.8
309302,First Class,28.8
309303,Second Class,28.79
309304,Standard Class,28.79
309305,First Class,28.79
309306,Second Class,28.78
309307,First Class,28.78
309308,First Class,28.77
309309,Second Class,28.77
309310,Standard Class,28.77
309311,Second Class,28.76
309312,Standard Class,28.76
309313,First Class,28.75
309314,Second Class,28.75
309315,Second Class,28.74
309316,Standard Class,28.74
309317,Standard Class,28.73
309318,Second Class,28.73
309319,Same Day,28.73
309320,Standard Class,28.72
309321,Second Class,28.72
309322,First Class,28.72
309323,Standard Class,28.71
309324,First Class,28.7
309325,Standard Class,28.7
309326,Standard Class,28.69
309327,Second Class,28.69
309328,Standard Class,28.68
309329,First Class,28.68
309330,Same Day,28.68
309331,First Class,28.67
309332,Standard Class,28.67
309333,Standard Class,28.66
309334,Second Class,28.66
309335,Second Class,28.65
309336,First Class,28.65
309337,Second Class,28.64
309338,Standard Class,28.63
309339,First Class,28.63
309340,First Class,28.62
309341,Second Class,28.62
309342,Standard Class,28.62
309343,First Class,28.61
309344,Standard Class,28.61
309345,Second Class,28.6
309346,Same Day,28.6
309347,Standard Class,28.59
309348,First Class,28.59
309349,First Class,28.58
309350,Standard Class,28.58
309351,Same Day,28.58
309352,Standard Class,28.57
309353,First Class,28.56
309354,Second Class,28.56
309355,Same Day,28.55
309356,Standard Class,28.55
309357,Second Class,28.55
309358,Second Class,28.54
309359,First Class,28.54
309360,Standard Class,28.54
309361,Same Day,28.53
309362,Standard Class,28.53
309363,Standard Class,28.52
309364,First Class,28.52
309365,Second Class,28.52
309366,Same Day,28.52
309367,Second Class,28.51
309368,First Class,28.51
309369,Same Day,28.51
309370,Standard Class,28.5
309371,Second Class,28.5
309372,First Class,28.5
309373,Standard Class,28.49
309374,First Class,28.49
309375,First Class,28.48
309376,Standard Class,28.48
309377,First Class,28.47
309378,Standard Class,28.47
309379,Second Class,28.46
309380,Standard Class,28.46
309381,Standard Class,28.45
309382,Second Class,28.45
309383,Standard Class,28.44
309384,First Class,28.43
309385,Standard Class,28.43
309386,Same Day,28.43
309387,First Class,28.42
309388,Standard Class,28.42
309389,Second Class,28.42
309390,Same Day,28.42
309391,Standard Class,28.41
309392,First Class,28.41
309393,Second Class,28.41
309394,Same Day,28.41
309395,Standard Class,28.4
309396,Standard Class,28.38
309397,First Class,28.37
309398,Second Class,28.37
309399,Standard Class,28.37
309400,Standard Class,28.36
309401,Second Class,28.36
309402,Standard Class,28.35
309403,Second Class,28.35
309404,First Class,28.35
309405,First Class,28.34
309406,Second Class,28.33
309407,Standard Class,28.33
309408,First Class,28.33
309409,Standard Class,28.32
309410,First Class,28.32
309411,First Class,28.31
309412,Standard Class,28.3
309413,Second Class,28.29
309414,Standard Class,28.29
309415,Standard Class,28.28
309416,Standard Class,28.27
309417,Second Class,28.26
309418,First Class,28.26
309419,Standard Class,28.26
309420,Second Class,28.25
309421,Standard Class,28.25
309422,Same Day,28.25
309423,Standard Class,28.24
309424,Second Class,28.24
309425,Second Class,28.23
309426,First Class,28.23
309427,Standard Class,28.22
309428,Standard Class,28.21
309429,Second Class,28.2
309430,First Class,28.19
309431,Second Class,28.19
309432,Standard Class,28.18
309433,Second Class,28.18
309434,Second Class,28.17
309435,Same Day,28.16
309436,Standard Class,28.16
309437,Standard Class,28.15
309438,Second Class,28.15
309439,First Class,28.15
309440,Standard Class,28.14
309441,First Class,28.14
309442,Standard Class,28.13
309443,Second Class,28.13
309444,Standard Class,28.12
309445,First Class,28.12
309446,First Class,28.11
309447,Second Class,28.11
309448,Standard Class,28.11
309449,Standard Class,28.1
309450,Same Day,28.09
309451,Second Class,28.08
309452,First Class,28.08
309453,Standard Class,28.07
309454,Second Class,28.07
309455,First Class,28.07
309456,First Class,28.06
309457,Second Class,28.06
309458,Standard Class,28.06
309459,First Class,28.05
309460,Second Class,28.05
309461,Standard Class,28.05
309462,Second Class,28.04
309463,Same Day,28.04
309464,First Class,28.03
309465,First Class,28.02
309466,Standard Class,28.02
309467,Standard Class,28.01
309468,Second Class,28.01
309469,First Class,28.01
309470,Second Class,28.0
309471,Standard Class,28.0
309472,First Class,28.0
309473,Second Class,27.99
309474,Standard Class,27.99
309475,Second Class,27.98
309476,First Class,27.98
309477,Standard Class,27.98
309478,Standard Class,27.97
309479,Second Class,27.97
309480,First Class,27.97
309481,Standard Class,27.96
309482,Same Day,27.96
309483,First Class,27.95
309484,Same Day,27.95
309485,Second Class,27.95
309486,Second Class,27.94
309487,Standard Class,27.94
309488,Standard Class,27.93
309489,Second Class,27.93
309490,First Class,27.93
309491,Standard Class,27.92
309492,Standard Class,27.91
309493,First Class,27.91
309494,Standard Class,27.9
309495,First Class,27.9
309496,Second Class,27.9
309497,Standard Class,27.89
309498,First Class,27.89
309499,Standard Class,27.88
309500,Standard Class,27.87
309501,Second Class,27.87
309502,First Class,27.86
309503,Second Class,27.86
309504,Standard Class,27.86
309505,Standard Class,27.85
309506,First Class,27.84
309507,Standard Class,27.84
309508,Standard Class,27.83
309509,Standard Class,27.82
309510,Same Day,27.82
309511,Standard Class,27.81
309512,Second Class,27.8
309513,Standard Class,27.8
309514,First Class,27.8
309515,First Class,27.79
309516,Standard Class,27.79
309517,Second Class,27.79
309518,First Class,27.78
309519,Standard Class,27.78
309520,Standard Class,27.77
309521,Standard Class,27.76
309522,First Class,27.76
309523,Second Class,27.75
309524,Standard Class,27.75
309525,Standard Class,27.74
309526,First Class,27.74
309527,Standard Class,27.73
309528,First Class,27.73
309529,Second Class,27.72
309530,Standard Class,27.71
309531,First Class,27.71
309532,Second Class,27.71
309533,Second Class,27.7
309534,Standard Class,27.7
309535,Second Class,27.69
309536,Standard Class,27.69
309537,Same Day,27.69
309538,Second Class,27.68
309539,Standard Class,27.68
309540,Standard Class,27.67
309541,First Class,27.67
309542,Standard Class,27.66
309543,Second Class,27.66
309544,Same Day,27.65
309545,Standard Class,27.65
309546,Standard Class,27.64
309547,Second Class,27.64
309548,Standard Class,27.63
309549,Standard Class,27.62
309550,First Class,27.61
309551,Second Class,27.61
309552,Standard Class,27.6
309553,First Class,27.59
309554,Second Class,27.59
309555,Standard Class,27.59
309556,Standard Class,27.58
309557,First Class,27.57
309558,Second Class,27.57
309559,Second Class,27.56
309560,Standard Class,27.56
309561,Second Class,27.55
309562,Standard Class,27.55
309563,Same Day,27.55
309564,Standard Class,27.54
309565,First Class,27.53
309566,Same Day,27.53
309567,Second Class,27.53
309568,Standard Class,27.52
309569,Second Class,27.52
309570,Second Class,27.51
309571,Standard Class,27.51
309572,First Class,27.51
309573,First Class,27.5
309574,First Class,27.49
309575,Second Class,27.49
309576,Standard Class,27.48
309577,Standard Class,27.47
309578,First Class,27.47
309579,Standard Class,27.46
309580,Standard Class,27.45
309581,First Class,27.45
309582,First Class,27.44
309583,Same Day,27.44
309584,Standard Class,27.44
309585,Second Class,27.43
309586,First Class,27.43
309587,Standard Class,27.42
309588,Same Day,27.42
309589,Standard Class,27.41
309590,Second Class,27.41
309591,Same Day,27.41
309592,First Class,27.4
309593,Standard Class,27.4
309594,Standard Class,27.39
309595,Second Class,27.39
309596,First Class,27.38
309597,Second Class,27.38
309598,Standard Class,27.37
309599,Standard Class,27.36
309600,Second Class,27.36
309601,Second Class,27.35
309602,Standard Class,27.35
309603,Standard Class,27.34
309604,Same Day,27.34
309605,Second Class,27.34
309606,Second Class,27.33
309607,First Class,27.33
309608,Standard Class,27.33
309609,Second Class,27.32
309610,Standard Class,27.32
309611,Second Class,27.31
309612,Standard Class,27.31
309613,Same Day,27.31
309614,First Class,27.31
309615,Second Class,27.3
309616,Standard Class,27.29
309617,First Class,27.29
309618,Same Day,27.29
309619,Standard Class,27.28
309620,Same Day,27.28
309621,Second Class,27.28
309622,Standard Class,27.27
309623,Standard Class,27.26
309624,Second Class,27.26
309625,Same Day,27.26
309626,Standard Class,27.25
309627,Second Class,27.25
309628,Second Class,27.24
309629,Second Class,27.23
309630,First Class,27.23
309631,Standard Class,27.22
309632,First Class,27.22
309633,Same Day,27.22
309634,First Class,27.21
309635,Standard Class,27.21
309636,Second Class,27.21
309637,Same Day,27.21
309638,Standard Class,27.2
309639,First Class,27.2
309640,Second Class,27.19
309641,Same Day,27.19
309642,Standard Class,27.18
309643,Same Day,27.18
309644,Standard Class,27.17
309645,Standard Class,27.16
309646,Same Day,27.16
309647,Standard Class,27.15
309648,First Class,27.15
309649,First Class,27.14
309650,Second Class,27.14
309651,Standard Class,27.14
309652,Standard Class,27.13
309653,Same Day,27.13
309654,Standard Class,27.12
309655,Second Class,27.12
309656,Standard Class,27.11
309657,Second Class,27.1
309658,First Class,27.1
309659,Standard Class,27.1
309660,First Class,27.09
309661,Standard Class,27.09
309662,Standard Class,27.08
309663,Second Class,27.08
309664,First Class,27.08
309665,Standard Class,27.07
309666,Same Day,27.07
309667,First Class,27.06
309668,Standard Class,27.05
309669,Second Class,27.05
309670,Standard Class,27.04
309671,Standard Class,27.03
309672,Second Class,27.03
309673,Standard Class,27.02
309674,Same Day,27.02
309675,First Class,27.01
309676,First Class,27.0
309677,Standard Class,27.0
309678,Standard Class,26.99
309679,Standard Class,26.98
309680,First Class,26.98
309681,First Class,26.97
309682,Standard Class,26.97
309683,Second Class,26.96
309684,Standard Class,26.96
309685,Same Day,26.96
309686,First Class,26.95
309687,Standard Class,26.95
309688,First Class,26.94
309689,Same Day,26.94
309690,Standard Class,26.94
309691,Standard Class,26.93
309692,First Class,26.93
309693,Same Day,26.93
309694,First Class,26.92
309695,Standard Class,26.92
309696,Standard Class,26.91
309697,Second Class,26.91
309698,Standard Class,26.9
309699,Second Class,26.9
309700,First Class,26.89
309701,Standard Class,26.89
309702,Same Day,26.88
309703,Standard Class,26.88
309704,First Class,26.88
309705,Second Class,26.87
309706,Standard Class,26.87
309707,First Class,26.87
309708,First Class,26.86
309709,Standard Class,26.86
309710,Standard Class,26.85
309711,Second Class,26.85
309712,First Class,26.85
309713,Standard Class,26.84
309714,Same Day,26.84
309715,Standard Class,26.83
309716,Second Class,26.83
309717,Second Class,26.82
309718,Standard Class,26.82
309719,First Class,26.81
309720,Same Day,26.81
309721,Second Class,26.81
309722,Standard Class,26.81
309723,First Class,26.8
309724,Second Class,26.8
309725,Standard Class,26.79
309726,First Class,26.79
309727,Standard Class,26.78
309728,Same Day,26.77
309729,Second Class,26.77
309730,Standard Class,26.77
309731,First Class,26.77
309732,Second Class,26.76
309733,Standard Class,26.75
309734,First Class,26.75
309735,Standard Class,26.74
309736,Second Class,26.74
309737,Standard Class,26.73
309738,First Class,26.73
309739,Same Day,26.73
309740,Second Class,26.73
309741,Standard Class,26.72
309742,Standard Class,26.71
309743,Standard Class,26.7
309744,Same Day,26.69
309745,Standard Class,26.69
309746,Second Class,26.69
309747,Standard Class,26.68
309748,First Class,26.68
309749,Second Class,26.67
309750,Second Class,26.66
309751,Standard Class,26.66
309752,Standard Class,26.65
309753,Second Class,26.65
309754,Second Class,26.64
309755,Standard Class,26.63
309756,First Class,26.63
309757,Standard Class,26.62
309758,Standard Class,26.61
309759,Second Class,26.61
309760,Standard Class,26.6
309761,Second Class,26.59
309762,First Class,26.59
309763,Standard Class,26.59
309764,Second Class,26.58
309765,Standard Class,26.56
309766,First Class,26.56
309767,Standard Class,26.55
309768,First Class,26.54
309769,Standard Class,26.54
309770,Second Class,26.53
309771,Standard Class,26.53
309772,First Class,26.53
309773,Same Day,26.52
309774,Second Class,26.52
309775,Standard Class,26.51
309776,First Class,26.51
309777,First Class,26.5
309778,Standard Class,26.49
309779,Same Day,26.49
309780,Second Class,26.49
309781,Standard Class,26.48
309782,Second Class,26.48
309783,First Class,26.48
309784,Second Class,26.47
309785,Standard Class,26.47
309786,Same Day,26.47
309787,First Class,26.46
309788,Standard Class,26.46
309789,Second Class,26.46
309790,Standard Class,26.45
309791,First Class,26.45
309792,Standard Class,26.44
309793,First Class,26.44
309794,Second Class,26.44
309795,First Class,26.43
309796,Standard Class,26.43
309797,Second Class,26.43
309798,Standard Class,26.42
309799,Same Day,26.42
309800,First Class,26.42
309801,Standard Class,26.41
309802,Standard Class,26.4
309803,First Class,26.4
309804,Standard Class,26.39
309805,Second Class,26.38
309806,Same Day,26.37
309807,First Class,26.37
309808,Second Class,26.37
309809,First Class,26.36
309810,Standard Class,26.36
309811,Standard Class,26.35
309812,Second Class,26.35
309813,Standard Class,26.34
309814,Second Class,26.34
309815,Standard Class,26.33
309816,Standard Class,26.32
